chembl_id	name	smiles	pAff
CHEMBL1082723	(1'R,3'S)-5,7'-dichloro-6'-fluoro-3'-methyl-2',3',4',9'-tetrahydrospiro[indoline-3,1'-pyrido[3,4-b]indol]-2-one	C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]4(N1)C(=O)Nc5ccc(Cl)cc45	4.0
CHEMBL1628277	5-Ethyl-11-[4-(ethyl-methyl-amino)-3-hydroxy-6-methyl-tetrahydro-pyran-2-yloxy]-3-hydroxy-9-(4-methoxy-4,6-dimethyl-tetrahydro-pyran-2-yloxy)-2,4,8,10,12,14-hexamethyl-6,15-dioxa-bicyclo[10.2.1]pentadec-1(14)-en-7-one	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@](C)(C[C@@H](C)O2)OC)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)CC)[C@@]4(C)CC(=C(O4)[C@H](C)[C@@H](O)[C@H]1C)C	7.983379584306
CHEMBL166642	(2R,3R,4S)-11-((R)-4-Dimethylamino-3-hydroxy-6-methyl-tetrahydro-pyran-2-yloxy)-5-ethyl-3-hydroxy-9-((4R,5S)-5-hydroxy-4-methoxy-4,6-dimethyl-tetrahydro-pyran-2-yloxy)-4-methoxy-2,4,8,10,12,14-hexamethyl-6,15-dioxa-bicyclo[10.2.]pentadec-1(14)-en-7-one	CCC1OC(=O)C(C)C(O[C@H]2C[C@@](C)(OC)[C@@H](O)C(C)O2)C(C)[C@@H](OC3OC(C)CC([C@H]3O)N(C)C)[C@]4(C)CC(=C(O4)[C@H](C)[C@@H](O)[C@]1(C)OC)C	7.7598830232600005
CHEMBL1778156	(2S,4R,5R,8R,9S,10S,11R,12S)-5-ethyl-11-((2S,3R,4S,6R)-3-hydroxy-4-(isopropyl(methyl)amino)-6-methyltetrahydro-2H-pyran-2-yloxy)-9-((2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyltetrahydro-2H-pyran-2-yloxy)-4-methoxy-2,4,8,10,12,14-hexamethyl-6,15-dioxabicyclo[10.2.1]pentadec-1(14)-ene-3,7-dione	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C(C)C)[C@]4(C)CC(=C(O4)[C@H](C)C(=O)[C@]1(C)OC)C	8.40011692793
CHEMBL209301	N-(((1S,3R)-3-(N-benzylpivalamido)cyclohexyl)methyl)-4-fluoro-N-(3-(2-(pyrrolidin-1-yl)ethoxy)phenyl)benzamide	CC(C)(C)C(=O)N(Cc1ccccc1)[C@@H]2CCC[C@H](CN(C(=O)c3ccc(F)cc3)c4cccc(OCCN5CCCC5)c4)C2	6.47108329972
CHEMBL214508	(9R,12R,15S)-15-(4-amino-butyl)-9-(4-hydroxy-benzyl)-12-isopropyl-6,7,8,9,11,12,14,15,17,18-decahydro-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-10,13,16-trione	CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc3ccccc3\C=C\CNC(=O)[C@H](CCCCN)NC1=O	5.692690421976
CHEMBL214543	(9R,12R,15S)-9-(4-hydroxy-benzyl)-12-hydroxymethyl-15-propyl-6,7,8,9,11,12,14,15,17,18-decahydro-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-10,13,16-trione	CCC[C@@H]1NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc3ccccc3\C=C\CNC1=O	3.514858501346
CHEMBL214555	(E)-(3S,6R,9R)-9-(4-hydroxy-benzyl)-6-isopropyl-3-propyl-1,4,7,10tetraaza-cyclopentadec-12-ene-2,5,8-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NC\C=C\CCNC1=O)C(C)C	5.669140483375999
CHEMBL214570	(9R,12R,15S)-9-(4-hydroxy-benzyl)-15-isobutyl-12-isopropyl-14-methyl-6,7,8,9,11,12,14,15,17,18,19,20-dodecahydro-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-10,13,16-trione	CC(C)C[C@@H]1N(C)C(=O)[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc3ccccc3CCCNC1=O)C(C)C	6.168505526895999
CHEMBL214652	(9R,12R,15S)-12-isopropyl-9-phenyl-15-propyl-6,7,8,9,11,12,14,15,17,18,19,20-dodecahydro-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-10,13,16-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@H](NCCOc2ccccc2CCCNC1=O)c3ccccc3)C(C)C	3.514858501346
CHEMBL214685	(9R,12R,15S)-9-(4-hydroxy-benzyl)-12-isopropyl-15-propyl-7,8,9,10,11,12,14,15,17,18,19,20-dodecahydro-6H-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-13,16-dione	CCC[C@@H]1NC(=O)[C@H](NC[C@@H](Cc2ccc(O)cc2)NCCOc3ccccc3CCCNC1=O)C(C)C	5.004715801945999
CHEMBL214702	(9S,12R,15S)-9-(4-hydroxy-benzyl)-12-isopropyl-15-propyl-6,7,8,9,11,12,14,15,17,18-decahydro-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-10,13,16-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@H](Cc2ccc(O)cc2)NCCOc3ccccc3\C=C\CNC1=O)C(C)C	3.514858501346
CHEMBL214703	(9R,12R,15S)-9,12-diisopropyl-15-propyl-6,7,8,9,11,12,14,15,17,18-decahydro-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-10,13,16-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@H](NCCOc2ccccc2\C=C\CNC1=O)C(C)C)C(C)C	4.962677162506
CHEMBL214815	(8R,11R,14S)-8-(4-hydroxy-benzyl)-11-isopropyl-14-propyl-5,6,7,8,10,11,13,14,16,17,18,19-dodecahydro-7,10,13,16-tetraaza-benzocycloheptadecene-9,12,15-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NCCc3ccccc3CCCNC1=O)C(C)C	3.514858501346
CHEMBL214869	(3S,6R,9R)-9-(4-hydroxy-benzyl)-6-isopropyl-3-propyl-1,4,7,10tetraaza-cyclooctadecane-2,5,8-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NCCCCCCCCNC1=O)C(C)C	5.4367643509359995
CHEMBL214935	(E)-(9R,12R,15S)-9-(4-hydroxy-benzyl)-12-isopropyl-15-propyl-6,7,8,9,11,12,14,15,17,18-decahydro-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-10,13,16-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc3ccccc3\C=C\CNC1=O)C(C)C	6.754453107228
CHEMBL215016	(9R,12R,15S)-9-benzyl-12-isopropyl-15-propyl-6,7,8,9,11,12,14,15,17,18-decahydro-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-10,13,16-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NCCOc3ccccc3\C=C\CNC1=O)C(C)C	6.622763898655999
CHEMBL215043	(9R,12R,15S)-12-isopropyl-9-phenethyl-15-propyl-6,7,8,9,11,12,14,15,17,18,19,20-dodecahydro-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-10,13,16-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](CCc2ccccc2)NCCOc3ccccc3CCCNC1=O)C(C)C	5.342839691926
CHEMBL215169	(9R,12R,15S)-9-(4-hydroxy-benzyl)-12-isopropyl-15-propyl-6,7,8,9,11,12,14,15,18,19-decahydro-17H-5-oxa-8,11,14,17-tetraaza-benzocycloheptadecene-10,13,16-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc3ccccc3CCNC1=O)C(C)C	5.522747013556
CHEMBL215177	(E/Z)-(8R,11R,14S)-8-(4-Hydroxy-benzyl)-11-isopropyl-14-propyl-5,6,7,8,10,11,13,14,16,17-decahydro-7,10,13,16-tetraaza-benzocycloheptadecene-9,12,15-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NCCc3ccccc3\C=C\CNC1=O)C(C)C	4.526924236116
CHEMBL215292	3-((9R,12R,15S)-12-isopropyl-10,13,16-trioxo-15-propyl-7,8,9,10,11,12,13,14,15,16,17,18-dodecahydro-6H-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecen-9-yl)-propionic acid	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](CCC(=O)O)NCCOc2ccccc2\C=C\CNC1=O)C(C)C	3.514858501346
CHEMBL215440	(9R,12R,15S)-9-benzyl-12-isopropyl-15-propyl-6,7,8,9,11,12,14,15,17,18,19,20-dodecahydro-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-10,13,16-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NCCOc3ccccc3CCCNC1=O)C(C)C	6.7589836456759995
CHEMBL215532	3-[(9R,12R,15S)-9-(4-hydroxy-benzyl)-10,13,16-trioxo-15-propyl-7,8,9,10,11,12,13,14,15,16,17,18-dodecahydro-6H-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecen-12-yl]-propionic acid	CCC[C@@H]1NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc3ccccc3\C=C\CNC1=O	4.824839720556
CHEMBL215825	(9R,12R,15S)-9-(4-hydroxy-benzyl)-12-isopropyl-15-propyl-6,7,8,9,11,12,14,15,17,18,19,20-dodecahydro-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-10,13,16-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc3ccccc3CCCNC1=O)C(C)C	6.774495811855999
CHEMBL215880	(E/Z)-(10S,13R,16R)-16-(4-hydroxy-benzyl)-13-isopropyl-10-propyl-7,10,11,13,14,16,17,18,19,20-decahydro-8H-8,11,14,17-tetraaza-benzocyclooctadecene-9,12,15-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NCCCc3ccccc3\C=C\CNC1=O)C(C)C	3.514858501346
CHEMBL215946	(9R,12R,15S)-9-(4-hydroxy-benzyl)-15-isobutyl-12-isopropyl-6,7,8,9,11,12,14,15,17,18-decahydro-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-10,13,16-trione	CC(C)C[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc3ccccc3\C=C\CNC1=O)C(C)C	6.722466811846
CHEMBL215963	(9S,12R,15R)-15-(4-hydroxy-benzyl)-12-isopropyl-9-propyl-6,7,9,10,12,13,15,16,17,18,19,20-dodecahydro-5H-7,10,13,16-tetraaza-benzocyclooctadecene-8,11,14-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NCCCCc3ccccc3CCNC1=O)C(C)C	4.732099308725999
CHEMBL216400	(9R,12R,15S)-12-isopropyl-9-naphthalen-2-ylmethyl-15-propyl-6,7,8,9,11,12,14,15,17,18,19,20-dodecahydro-5-oxa-8,11,14,17-tetraaza-benzocyclooctadecene-10,13,16-trione	CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc3ccccc3c2)NCCOc4ccccc4CCCNC1=O)C(C)C	6.617231410055999
CHEMBL216445	(S)-2-((R)-2-((R)-2-amino-3-(4-hydroxyphenyl)propanamido)-3-methylbutanamido)pentanamide	CCC[C@H](NC(=O)[C@H](NC(=O)[C@H](N)Cc1ccc(O)cc1)C(C)C)C(=O)N	3.514858501346
CHEMBL216996	(S)-2-((R)-2-((R)-2-(2-(2-((E)-3-acetamidoprop-1-enyl)phenoxy)ethylamino)-3-(4-hydroxyphenyl)propanamido)-3-methylbutanamido)pentanamide	CCC[C@H](NC(=O)[C@H](NC(=O)[C@@H](Cc1ccc(O)cc1)NCCOc2ccccc2\C=C\CNC(=O)C)C(C)C)C(=O)N	3.514858501346
CHEMBL2313632	(2R,5S)-3-amino-2-(3-tert-butyl-4-hydroxybenzyl)-N-ethyl-5-((S)-3-(4-fluorophenyl)-N-methyl-2-(methylamino)propanamido)-6-methyl-4-oxoheptanamide hydrochloride	Cl.CCNC(=O)[C@H](Cc1ccc(O)c(c1)C(C)(C)C)C(N)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](Cc2ccc(F)cc2)NC	8.094902752856
CHEMBL231744	(5R,8R,11S)-8-(propan-2-yl)-11-[(pyrimidin-2-ylamino)methyl]-5-{[3-(trifluoromethyl)phenyl]methyl}-3,4,5,6,7,8,9,10,11,12,13,14,15,16-tetradecahydro-2H-1,4,7,10,13-benzoxatetrazacyclooctadecine-6,9,12-trione	CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(c2)C(F)(F)F)NCCOc3ccccc3CCCNC(=O)[C@H](CNc4ncccn4)NC1=O	7.213828505685999
CHEMBL232154	1-{[(5R,8R,11S)-5-[(4-chlorophenyl)methyl]-6,9,12-trioxo-8-(propan-2-yl)-3,4,5,6,7,8,9,10,11,12,13,14,15,16-tetradecahydro-2H-1,4,7,10,13-benzoxatetrazacyclooctadecin-11-yl]methyl}guanidine	CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(Cl)cc2)NCCOc3ccccc3CCCNC(=O)[C@H](CNC(=N)N)NC1=O	7.736707250965999
