chembl_id	name	smiles	pAff
CHEMBL123744	(S)-4-(4-Acetyl-piperazin-1-yl)-2-(4-chloro-benzyl)-1-{4-[2-(2-cyclopropyl-1-methanesulfonyl-ethyl)-phenyl]-piperazin-1-yl}-butane-1,4-dione	CC(=O)N1CCN(CC1)C(=O)C[C@H](Cc2ccc(Cl)cc2)C(=O)N3CCN(CC3)c4ccccc4N(CC5CC5)S(=O)(=O)C	4.0
CHEMBL1240919	(6S,9R,12S,15S,18R,21S,24S)-21-((1H-imidazol-5-yl)methyl)-12-((1H-indol-3-yl)methyl)-1-amino-24-((R)-2-((R)-2-((S)-6-amino-2-(2-((2S,5S,8S,14S)-8-(carboxymethyl)-14-(3-guanidinopropyl)-5-(4-hydroxybenzyl)-3,6,9,12,15-pentaoxo-1,4,7,10,13-pentaazacyclopentadecan-2-yl)acetamido)hexanamido)-3-mercaptopropanamido)-3-mercaptopropanamido)-6-((S)-2-((S)-1-amino-3-methyl-1-oxobutan-2-ylcarbamoyl)pyrrolidine-1-carbonyl)-18-benzyl-15-(3-guanidinopropyl)-1-imino-9-(mercaptomethyl)-8,11,14,17,20,23-hexaoxo-2,7,10,13,16,19,22-heptaazaheptacosan-27-oic acid	CC(C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc4ccccc4)NC(=O)[C@H](Cc5cnc[nH]5)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CS)NC(=O)[C@H](CS)NC(=O)[C@H](CCCCN)NC(=O)C[C@@H]6NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc7ccc(O)cc7)NC6=O)C(=O)N	9.15490195999
CHEMBL125492	(S)-4-(4-{2-[1-(Acetyl-ethyl-amino)-ethyl]-phenyl}-piperazin-1-yl)-3-(4-chloro-benzyl)-N-(2-fluoro-benzyl)-4-oxo-butyramide	CCN(C(C)c1ccccc1N2CCN(CC2)C(=O)[C@H](CC(=O)NCc3ccccc3F)Cc4ccc(Cl)cc4)C(=O)C	4.79588001734
CHEMBL125819	(S)-4-(4-{2-[1-(Acetyl-ethyl-amino)-ethyl]-phenyl}-piperazin-1-yl)-3-(4-chloro-benzyl)-N-cyclobutyl-4-oxo-butyramide	CCN(C(C)c1ccccc1N2CCN(CC2)C(=O)[C@H](CC(=O)NC3CCC3)Cc4ccc(Cl)cc4)C(=O)C	5.22184874962
CHEMBL127861	N-[1-(2-{4-[(S)-4-Azetidin-1-yl-2-(4-chloro-benzyl)-4-oxo-butyryl]-piperazin-1-yl}-phenyl)-ethyl]-N-ethyl-acetamide	CCN(C(C)c1ccccc1N2CCN(CC2)C(=O)[C@H](CC(=O)N3CCC3)Cc4ccc(Cl)cc4)C(=O)C	4.85387196432
CHEMBL1834391	(4S,7S,10R,13S,16S,22S)-7-((1H-imidazol-5-yl)methyl)-16-((1H-indol-3-yl)methyl)-26-amino-4-((S)-2-((S)-2-((S)-2-((S)-2-amino-3-hydroxypropanamido)-3-(4-hydroxyphenyl)propanamido)-3-hydroxypropanamido)hexanamido)-22-((S)-2-((S)-1-amino-3-methyl-1-oxobutan-2-ylcarbamoyl)pyrrolidine-1-carbonyl)-10-benzyl-13-(3-guanidinopropyl)-5,8,11,14,17,20-hexaoxo-6,9,12,15,18,21-hexaazahexacosan-1-oic acid	CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@H](Cc3ccccc3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N6CCC[C@H]6C(=O)N[C@@H](C(C)C)C(=O)N	9.67778070527
CHEMBL1834392	(4S)-4-{[(1S)-1-{[(1R)-1-{[(1S)-1-{[(1S)-1-[({[(2S)-6-amino-1-[(2S)-2-{[(1S)-1-carbamoyl-2-methylpropyl]carbamoyl}pyrrolidin-1-yl]-1-oxohexan-2-yl]carbamoyl}methyl)carbamoyl]-2-(1H-indol-3-yl)ethyl]carbamoyl}-4-carbamimidamidobutyl]carbamoyl}-2-phenylethyl]carbamoyl}-2-(1H-imidazol-5-yl)ethyl]carbamoyl}-4-[(2S)-2-[(2S)-2-[(2S)-2-[(2S)-2-[(6-azidohexyl)amino]-3-hydroxypropanamido]-3-(4-hydroxyphenyl)propanamido]-3-hydroxypropanamido]hexanamido]butanoic acid	CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NCCCCCCN=[N+]=[N-])C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@H](Cc3ccccc3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N6CCC[C@H]6C(=O)N[C@@H](C(C)C)C(=O)N	9.60205999133
CHEMBL1834393	2,2',2''-(10-((4S,7S,10S,13S,16S,19S,22R,25S,28S,34S)-19-((1H-imidazol-5-yl)methyl)-28-((1H-indol-3-yl)methyl)-38-amino-34-((S)-2-((S)-1-amino-3-methyl-1-oxobutan-2-ylcarbamoyl)pyrrolidine-1-carbonyl)-22-benzyl-13-butyl-16-(2-carboxyethyl)-25-(3-guanidinopropyl)-7-(4-hydroxybenzyl)-4,10-bis(hydroxymethyl)-2,5,8,11,14,17,20,23,26,29,32-undecaoxo-3,6,9,12,15,18,21,24,27,30,33-undecaazaoctatriacontyl)-1,4,7,10-tetraazacyclododecane-1,4,7-triyl)triacetic acid	CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)CN2CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC2)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc3cnc[nH]3)C(=O)N[C@H](Cc4ccccc4)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc5c[nH]c6ccccc56)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N7CCC[C@H]7C(=O)N[C@@H](C(C)C)C(=O)N	9.22914798836
CHEMBL1834394	2,2',2''-(10-(2-(4-(1-((5S,11S,14S,17R,20S,23S,26S,29S,32S,35S)-20-((1H-imidazol-5-yl)methyl)-11-((1H-indol-3-yl)methyl)-1-amino-5-((S)-2-((S)-1-amino-3-methyl-1-oxobutan-2-ylcarbamoyl)pyrrolidine-1-carbonyl)-17-benzyl-26-butyl-23-(2-carboxyethyl)-14-(3-guanidinopropyl)-32-(4-hydroxybenzyl)-29,35-bis(hydroxymethyl)-7,10,13,16,19,22,25,28,31,34-decaoxo-6,9,12,15,18,21,24,27,30,33,36-undecaazadotetracontan-42-yl)-4-fluoro-4,5,6,7,8,9-hexahydro-1H-cycloocta[d][1,2,3]triazole-4-carboxamido)butylamino)-2-oxoethyl)-1,4,7,10-tetraazacyclododecane-1,4,7-triyl)triacetic acid	CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NCCCCCCn2nnc3c2CCCCCC3(F)C(=O)NCCCCNC(=O)CN4CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC4)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc5cnc[nH]5)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc7c[nH]c8ccccc78)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N9CCC[C@H]9C(=O)N[C@@H](C(C)C)C(=O)N	9.11918640772
CHEMBL1834395	2,2'-(7-(2-(4-(1-((5S,11S,14S,17R,20S,23S,26S,29S,32S,35S)-20-((1H-imidazol-5-yl)methyl)-11-((1H-indol-3-yl)methyl)-1-amino-5-((S)-2-((S)-1-amino-3-methyl-1-oxobutan-2-ylcarbamoyl)pyrrolidine-1-carbonyl)-17-benzyl-26-butyl-23-(2-carboxyethyl)-14-(3-guanidinopropyl)-32-(4-hydroxybenzyl)-29,35-bis(hydroxymethyl)-7,10,13,16,19,22,25,28,31,34-decaoxo-6,9,12,15,18,21,24,27,30,33,36-undecaazadotetracontan-42-yl)-4-fluoro-4,5,6,7,8,9-hexahydro-1H-cycloocta[d][1,2,3]triazole-4-carboxamido)butylamino)-2-oxoethyl)-1,4,7-triazonane-1,4-diyl)diacetic acid	CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NCCCCCCn2nnc3c2CCCCCC3(F)C(=O)NCCCCNC(=O)CN4CCN(CC(=O)O)CCN(CC(=O)O)CC4)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc5cnc[nH]5)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc7c[nH]c8ccccc78)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N9CCC[C@H]9C(=O)N[C@@H](C(C)C)C(=O)N	9.08618614762
CHEMBL235136	(R)-2-amino-N-(5-amino-pentyl)-N-benzyl-3-biphenyl-4-yl-propionamide	NCCCCCN(Cc1ccccc1)C(=O)[C@H](N)Cc2ccc(cc2)c3ccccc3	4.923793894316
CHEMBL235137	N-(5-aminopentyl)-N-benzyl-4-(1H-indol-3-yl)butanamide	NCCCCCN(Cc1ccccc1)C(=O)CCCc2c[nH]c3ccccc23	5.009708523025999
CHEMBL235138	4-(2-(4-hydroxybenzyl)-1H-indol-3-yl)-N-(5-aminopentyl)-N-benzylbutanamide	NCCCCCN(Cc1ccccc1)C(=O)CCCc2c(Cc3ccc(O)cc3)[nH]c4ccccc24	5.213828505685999
CHEMBL235139	N-(4-((4-aminocyclohexyl)methyl)cyclohexyl)-4-(1H-indol-3-yl)-N-(pyridin-4-ylmethyl)butanamide	NC1CCC(CC2CCC(CC2)N(Cc3ccncc3)C(=O)CCCc4c[nH]c5ccccc45)CC1	4.916218222286
CHEMBL235140	N-(2-chlorobenzyl)-N-(4-((4-aminocyclohexyl)methyl)cyclohexyl)-4-(1H-indol-3-yl)butanamide	NC1CCC(CC2CCC(CC2)N(Cc3ccccc3Cl)C(=O)CCCc4c[nH]c5ccccc45)CC1	5.009708523025999
CHEMBL235147	N-(2-carbamimidamidoethyl)-3-(1H-indol-3-yl)-N-(naphthalen-2-ylmethyl)propanamide	NC(=N)NCCN(Cc1ccc2ccccc2c1)C(=O)CCc3c[nH]c4ccccc34	4.368730465665999
CHEMBL235162	1-(3-aminocyclohexyl)-3-(3-(N-benzyl-4-(1H-indol-3-yl)butanamido)cyclohexyl)urea	NC1CCCC(C1)NC(=O)NC2CCCC(C2)N(Cc3ccccc3)C(=O)CCCc4c[nH]c5ccccc45	5.172435820525999
CHEMBL235176	N-(3,4-dimethoxybenzyl)-4-(2-(4-hydroxybenzyl)-1H-indol-3-yl)-N-(4-((4-aminocyclohexyl)methyl)cyclohexyl)butanamide	COc1ccc(CN(C2CCC(CC3CCC(N)CC3)CC2)C(=O)CCCc4c(Cc5ccc(O)cc5)[nH]c6ccccc46)cc1OC	5.236104900396
CHEMBL235355	(R)-2-amino-N-(5-aminopentyl)-N-benzyl-3-(1H-indol-3-yl)propanamide	NCCCCCN(Cc1ccccc1)C(=O)[C@H](N)Cc2c[nH]c3ccccc23	4.009708523025999
CHEMBL235356	N-(5-Amino-pentyl)-2-(naphthalen-2-yloxy)-N-spiro[5.5]undec-8-en-3-yl-acetamide	NCCCCCN(C1CCC2(CCC=CC2)CC1)C(=O)COc3ccc4ccccc4c3	4.6456267816159995
CHEMBL235358	N-(2-chloro-6-fluorophenethyl)-N-(4-((4-aminocyclohexyl)methyl)cyclohexyl)-4-(1H-indol-3-yl)butanamide	NC1CCC(CC2CCC(CC2)N(CCc3c(F)cccc3Cl)C(=O)CCCc4c[nH]c5ccccc45)CC1	5.192639206616
CHEMBL235359	N-(2,6-difluorobenzyl)-N-(4-((4-aminocyclohexyl)methyl)cyclohexyl)-4-(1H-indol-3-yl)butanamide	NC1CCC(CC2CCC(CC2)N(Cc3c(F)cccc3F)C(=O)CCCc4c[nH]c5ccccc45)CC1	5.259585996246
CHEMBL235382	N-(3-aminocyclohexyl)-N-benzyl-4-(1H-indol-3-yl)butanamide	NC1CCCC(C1)N(Cc2ccccc2)C(=O)CCCc3c[nH]c4ccccc34	4.996344561466
CHEMBL235582	N-(4-((4-aminocyclohexyl)methyl)cyclohexyl)-N-(2-bromoallyl)-4-(1H-indol-3-yl)butanamide	NC1CCC(CC2CCC(CC2)N(CC(=C)Br)C(=O)CCCc3c[nH]c4ccccc34)CC1	5.481409926193499
CHEMBL235589	N-(3-ethoxy-4-methoxybenzyl)-4-(2-(4-hydroxybenzyl)-1H-indol-3-yl)-N-(4-((4-aminocyclohexyl)methyl)cyclohexyl)butanamide	CCOc1cc(CN(C2CCC(CC3CCC(N)CC3)CC2)C(=O)CCCc4c(Cc5ccc(O)cc5)[nH]c6ccccc46)ccc1OC	5.192639206616
CHEMBL235590	N-(2-guanidino-ethyl)-4-(1H-indol-3-yl)-N-naphthalen-2-ylmethyl-butyramide	NC(=N)NCCN(Cc1ccc2ccccc2c1)C(=O)CCCc3c[nH]c4ccccc34	4.595780408965999
CHEMBL235592	N-(3-guanidino-propyl)-2-(1H-indol-3-yl)-N-naphthalen-2-ylmethyl-acetamide	NC(=N)NCCCN(Cc1ccc2ccccc2c1)C(=O)Cc3c[nH]c4ccccc34	3.9707904569959998
CHEMBL235616	(Z)-N-((3-(aminomethyl)cyclohexyl)methyl)-N-(2-chloro-3-phenylallyl)-4-(1H-indol-3-yl)butanamide	NCC1CCCC(CN(C\C(=C\c2ccccc2)\Cl)C(=O)CCCc3c[nH]c4ccccc34)C1	5.338767242286
CHEMBL235617	N-((3-(aminomethyl)cyclohexyl)methyl)-N-benzyl-4-(1H-indol-3-yl)butanamide	NCC1CCCC(CN(Cc2ccccc2)C(=O)CCCc3c[nH]c4ccccc34)C1	5.083494737185999
CHEMBL235627	(E)-N-(3-aminopropyl)-3-(1H-indol-3-yl)-N-(1,2,3,4-tetrahydronaphthalen-2-yl)acrylamide	NCCCN(C1CCc2ccccc2C1)C(=O)\C=C\c3c[nH]c4ccccc34	4.736707250966
CHEMBL235797	N-(2-aminoethyl)-N-(naphthalen-2-ylmethyl)-1H-indole-3-carboxamide	NCCN(Cc1ccc2ccccc2c1)C(=O)c3c[nH]c4ccccc34	4.958556000575999
CHEMBL235798	N-(3-Guanidino-propyl)-3-(1H-indol-3-yl)-N-naphthalen-2-ylmethyl-propionamide	NC(=N)NCCCN(Cc1ccc2ccccc2c1)C(=O)CCc3c[nH]c4ccccc34	4.4356772552959995
CHEMBL235802	N-(4-guanidino-butyl)-3-(1H-indol-3-yl)-N-naphthalen-2-ylmethyl-propionamide	NC(=N)NCCCCN(Cc1ccc2ccccc2c1)C(=O)CCc3c[nH]c4ccccc34	4.4356772552959995
CHEMBL235815	(E)-N-(3-aminopropyl)-2-(1H-indol-3-yl)-N-(2-methyl-3-phenylallyl)-2-oxoacetamide	C\C(=C/c1ccccc1)\CN(CCCN)C(=O)C(=O)c2c[nH]c3ccccc23	5.259585996246
CHEMBL236002	N-(2-bromo-4,5-dimethoxycinnamyl)-4-(2-(4-hydroxybenzyl)-1H-indol-3-yl)-N-(4-((4-aminocyclohexyl)methyl)cyclohexyl)butanamide	COc1cc(Br)c(\C=C\CN(C2CCC(CC3CCC(N)CC3)CC2)C(=O)CCCc4c(Cc5ccc(O)cc5)[nH]c6ccccc46)cc1OC	5.541730647745999
CHEMBL236003	N-(4-aminobutyl)-3-(1H-indol-3-yl)-N-(1-phenylpropyl)propanamide	CCC(N(CCCCN)C(=O)CCc1c[nH]c2ccccc12)c3ccccc3	4.338767242286
CHEMBL236020	N-((Z)-2-chloro-3-phenyl-allyl)-N-[4-(4-guanidino-cyclohexylmethyl)-cyclohexyl]-4-(1H-indol-3-yl)-butyramide	NC(=N)NC1CCC(CC2CCC(CC2)N(C\C(=C\c3ccccc3)\Cl)C(=O)CCCc4c[nH]c5ccccc45)CC1	4.932979739356
CHEMBL236022	N-(4-guanidino-butyl)-4-(1H-indol-3-yl)-N-naphthalen-2-ylmethyl-butyramide	NC(=N)NCCCCN(Cc1ccc2ccccc2c1)C(=O)CCCc3c[nH]c4ccccc34	5.009708523025999
CHEMBL236226	(Z)-1-(3-aminocyclohexyl)-3-(3-(N-(2-chloro-3-phenylallyl)-4-(1H-indol-3-yl)butanamido)cyclohexyl)urea	NC1CCCC(C1)NC(=O)NC2CCCC(C2)N(C\C(=C\c3ccccc3)\Cl)C(=O)CCCc4c[nH]c5ccccc45	5.023496807516
CHEMBL236442	N-[4-(4-guanidino-cyclohexylmethyl)-cyclohexyl]-4-(1H-indol-3-yl)-N-((E)-3-phenyl-allyl)-butyramide	NC(=N)NC1CCC(CC2CCC(CC2)N(C\C=C\c3ccccc3)C(=O)CCCc4c[nH]c5ccccc45)CC1	4.970790456995999
CHEMBL236443	N-(3-(aminomethyl)benzyl)-4-(1H-indol-3-yl)-N-(naphthalen-2-ylmethyl)butanamide	NCc1cccc(CN(Cc2ccc3ccccc3c2)C(=O)CCCc4c[nH]c5ccccc45)c1	5.338767242286
CHEMBL236447	N-(2-aminoethyl)-2-(1H-indol-3-yl)-N-(naphthalen-2-ylmethyl)acetamide	NCCN(Cc1ccc2ccccc2c1)C(=O)Cc3c[nH]c4ccccc34	3.958556000576
CHEMBL236450	N-(2-aminoethyl)-2-(1H-indol-3-yl)-N-(1-(naphthalen-2-yl)ethyl)acetamide	CC(N(CCN)C(=O)Cc1c[nH]c2ccccc12)c3ccc4ccccc4c3	4.871405824856
CHEMBL236626	N-(2-chlorobenzyl)-4-(2-(4-hydroxybenzyl)-1H-indol-3-yl)-N-(4-((4-aminocyclohexyl)methyl)cyclohexyl)butanamide	NC1CCC(CC2CCC(CC2)N(Cc3ccccc3Cl)C(=O)CCCc4c(Cc5ccc(O)cc5)[nH]c6ccccc46)CC1	4.695314565806
CHEMBL236629	2-(4-hydroxybenzyl)-N-(4-aminobutyl)-N-isopropyl-1H-indole-3-carboxamide	CC(C)N(CCCCN)C(=O)c1c(Cc2ccc(O)cc2)[nH]c3ccccc13	3.560615991906
CHEMBL236630	(Z)-N-(4-aminobutyl)-N-(2-chloro-3-phenylallyl)-4-(1H-indol-3-yl)butanamide	NCCCCN(C\C(=C\c1ccccc1)\Cl)C(=O)CCCc2c[nH]c3ccccc23	5.134647259636
CHEMBL236638	4-(2-(4-hydroxybenzyl)-1H-indol-3-yl)-N-(6-aminohexyl)-N-benzylbutanamide	NCCCCCCN(Cc1ccccc1)C(=O)CCCc2c(Cc3ccc(O)cc3)[nH]c4ccccc24	5.153130665326
CHEMBL236639	N-{4-[(4-aminocyclohexyl)methyl]cyclohexyl}-4-{2-[(4-hydroxyphenyl)methyl]-1H-indol-3-yl}-N-[(2-methylphenyl)methyl]butanamide	Cc1ccccc1CN(C2CCC(CC3CCC(N)CC3)CC2)C(=O)CCCc4c(Cc5ccc(O)cc5)[nH]c6ccccc46	4.842760643406
CHEMBL236640	N-(7-aminoheptyl)-N-benzyl-4-(1H-indol-3-yl)butanamide	NCCCCCCCN(Cc1ccccc1)C(=O)CCCc2c[nH]c3ccccc23	4.912798510016
CHEMBL236645	N-(4-(aminomethyl)benzyl)-4-(1H-indol-3-yl)-N-(naphthalen-2-ylmethyl)butanamide	NCc1ccc(CN(Cc2ccc3ccccc3c2)C(=O)CCCc4c[nH]c5ccccc45)cc1	4.912798510016
CHEMBL236649	N-(8-aminooctyl)-N-cinnamyl-3-(1H-indol-3-yl)propanamide	NCCCCCCCCN(C\C=C\c1ccccc1)C(=O)CCc2c[nH]c3ccccc23	5.4356772552959995
CHEMBL236803	(Z)-N-(4-((4-aminocyclohexyl)methyl)cyclohexyl)-5-(benzyloxy)-N-(2-chloro-3-phenylallyl)-1H-indole-2-carboxamide	NC1CCC(CC2CCC(CC2)N(C\C(=C\c3ccccc3)\Cl)C(=O)c4cc5cc(OCc6ccccc6)ccc5[nH]4)CC1	4.891609210945999
CHEMBL236840	(E)-N-(4-aminobutyl)-2-(1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl)-N-(2-methyl-3-phenylallyl)acetamide	COc1ccc2c(c1)c(CC(=O)N(CCCCN)C\C(=C\c3ccccc3)\C)c(C)n2C(=O)c4ccc(Cl)cc4	5.259585996246
