chembl_id	name	smiles	pAff
CHEMBL443353	(2S,5S)-1-((S)-3-mercapto-2-methylpropanoyl)-5-(3-phenylpropylthio)pyrrolidine-2-carboxylic acid	C[C@H](CS)C(=O)N1[C@H](CC[C@H]1C(=O)O)SCCCc2ccccc2	5.95860731484
CHEMBL444474	(R)-3-(4-chlorobenzylthio)-2-((S)-3-mercapto-2-methylpropanamido)propanoic acid	C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(Cl)cc1)C(=O)O	5.989773779115
CHEMBL445489	(R)-3-(4-(dimethylamino)benzylthio)-2-(4-mercaptobutanamido)propanoic acid	CN(C)c1ccc(CSC[C@H](NC(=O)CCCS)C(=O)O)cc1	4.0
CHEMBL449792	(2S,5S)-5-(4-isopropylbenzylthio)-1-((S)-3-mercapto-2-methylpropanoyl)pyrrolidine-2-carboxylic acid	CC(C)c1ccc(CS[C@H]2CC[C@H](N2C(=O)[C@H](C)CS)C(=O)O)cc1	7.28399665637
CHEMBL451209	(R)-3-(benzylthio)-2-((S)-3-mercapto-2-methylpropanamido)propanoic acid	C[C@H](CS)C(=O)N[C@@H](CSCc1ccccc1)C(=O)O	4.0
CHEMBL456035	(R)-3-(4-(dimethylamino)benzylthio)-2-(2-mercaptoacetamido)propanoic acid	CN(C)c1ccc(CSC[C@H](NC(=O)CS)C(=O)O)cc1	6.32790214206
CHEMBL456044	(2R)-3-((4-cyclohexylphenyl)(phenyl)methylthio)-2-((S)-3-mercapto-2-methylpropanamido)propanoic acid	C[C@H](CS)C(=O)N[C@@H](CSC(c1ccccc1)c2ccc(cc2)C3CCCCC3)C(=O)O	6.67778070527
CHEMBL456045	(R)-3-(2-(4-cyclohexylphenyl)propan-2-ylthio)-2-((S)-3-mercapto-2-methylpropanamido)propanoic acid	C[C@H](CS)C(=O)N[C@@H](CSC(C)(C)c1ccc(cc1)C2CCCCC2)C(=O)O	7.25963731051
CHEMBL456278	(R)-2-((S)-3-mercapto-2-methylpropanamido)-3-(4-nitrobenzylthio)propanoic acid	C[C@H](CS)C(=O)N[C@@H](CSCc1ccc(cc1)[N+](=O)[O-])C(=O)O	5.3099018799
CHEMBL456469	(R)-3-(4-(dimethylamino)benzylthio)-2-((S)-2-mercaptopropanamido)propanoic acid	C[C@H](S)C(=O)N[C@@H](CSCc1ccc(cc1)N(C)C)C(=O)O	4.0
CHEMBL456470	(R)-3-(4-(dimethylamino)benzylthio)-2-(3-mercaptopropanamido)propanoic acid	CN(C)c1ccc(CSC[C@H](NC(=O)CCS)C(=O)O)cc1	4.0
CHEMBL456723	(R)-3-(2-(4-isopropylphenyl)propan-2-ylthio)-2-((S)-3-mercapto-2-methylpropanamido)propanoic acid	CC(C)c1ccc(cc1)C(C)(C)SC[C@H](NC(=O)[C@H](C)CS)C(=O)O	7.10237290871
CHEMBL457318	(R)-3-(3-(dimethylamino)benzylthio)-2-((S)-3-mercapto-2-methylpropanamido)propanoic acid	C[C@H](CS)C(=O)N[C@@H](CSCc1cccc(c1)N(C)C)C(=O)O	4.0
CHEMBL457319	(S)-3-(4-(dimethylamino)benzylthio)-2-((S)-3-mercapto-2-methylpropanamido)propanoic acid	C[C@H](CS)C(=O)N[C@H](CSCc1ccc(cc1)N(C)C)C(=O)O	4.0
