chembl_id	name	smiles	pAff
CHEMBL139611	(Z)-2-Cyano-3-cyclopropyl-N-(4-furan-2-yl-phenyl)-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)c2occc2)\C3CC3	5.74957999769
CHEMBL139647	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-(4-phenethyl-phenyl)-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(CCc2ccccc2)cc1)\C3CC3	6.8601209136
CHEMBL139699	(Z)-N-[4-(4-Chloro-phenylethynyl)-phenyl]-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)C#Cc2ccc(Cl)cc2)\C3CC3	4.74957999769
CHEMBL139818	(Z)-N-(4-Chloro-2-methyl-phenyl)-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	Cc1cc(Cl)ccc1NC(=O)\C(=C(/O)\C2CC2)\C#N	5.90308998699
CHEMBL139937	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-(3-methyl-4-pentafluoroethyl-phenyl)-acrylamide	Cc1cc(NC(=O)\C(=C(/O)\C2CC2)\C#N)ccc1C(F)(F)C(F)(F)F	7.95860731484
CHEMBL139954	4-((Z)-2-Cyano-3-cyclopropyl-3-hydroxy-acryloylamino)-benzoic acid methyl ester	COC(=O)c1ccc(NC(=O)\C(=C(/O)\C2CC2)\C#N)cc1	6.80134291305
CHEMBL140115	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-(3-trifluoromethyl-phenyl)-acrylamide	O\C(=C(\C#N)/C(=O)Nc1cccc(c1)C(F)(F)F)\C2CC2	6.31966448659
CHEMBL140210	(Z)-2-Cyano-N-(4-cyanomethyl-phenyl)-3-cyclopropyl-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(CC#N)cc1)\C2CC2	5.34008379993
CHEMBL140558	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-(5-trifluoromethyl-pyridin-2-yl)-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cn1)C(F)(F)F)\C2CC2	7.76955107862
CHEMBL141015	(Z)-N-(3-Chloro-phenyl)-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1cccc(Cl)c1)\C2CC2	6.46470587996
CHEMBL141040	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-p-tolyl-acrylamide	Cc1ccc(NC(=O)\C(=C(/O)\C2CC2)\C#N)cc1	6.63078414259
CHEMBL141041	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-phenyl-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccccc1)\C2CC2	5.69897000434
CHEMBL141047	(Z)-2-Cyano-3-hydroxy-penta-2,4-dienoic acid (4-trifluoromethyl-phenyl)-amide-2-cyano-3-hydroxy-N-(4-(trifluoromethyl)phenyl)penta-2,4-dienamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)C(F)(F)F)\C=C	7.63827216398
CHEMBL141074	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-(4-thiophen-2-yl-phenyl)-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)c2cccs2)\C3CC3	6.19997064076
CHEMBL141086	(Z)-2-Cyano-3-hydroxy-4-methyl-penta-2,4-dienoic acid (4-trifluoromethyl-phenyl)-amide-2-cyano-3-hydroxy-4-methyl-N-(4-(trifluoromethyl)phenyl)penta-2,4-dienamide	CC(=C)\C(=C(/C#N)\C(=O)Nc1ccc(cc1)C(F)(F)F)\O	6.60032627852
CHEMBL141104	(Z)-N-(3-Chloro-4-methyl-phenyl)-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	Cc1ccc(NC(=O)\C(=C(/O)\C2CC2)\C#N)cc1Cl	7.10237290871
CHEMBL141126	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-(4-phenoxy-phenyl)-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(Oc2ccccc2)cc1)\C3CC3	6.5376020021
CHEMBL141144	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-(2-trifluoromethyl-phenyl)-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccccc1C(F)(F)F)\C2CC2	3.0
CHEMBL141195	(Z)-2-Cyano-N-(4-cyano-phenyl)-3-cyclopropyl-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)C#N)\C2CC2	7.2757241304
CHEMBL141237	(Z)-N-[4-(4-Chloro-phenoxy)-phenyl]-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1)\C3CC3	5.82102305271
CHEMBL141248	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-(4-trifluoromethylsulfanyl-phenyl)-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(SC(F)(F)F)cc1)\C2CC2	8.30102999566
CHEMBL141472	(2Z,4E)-2-Cyano-3-hydroxy-hexa-2,4-dienoic acid (4-trifluoromethyl-phenyl)-amide	C\C=C\C(=C(/C#N)\C(=O)Nc1ccc(cc1)C(F)(F)F)\O	5.85078088734
CHEMBL141732	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-(4-trifluoromethyl-phenyl)-acrylamide-2-cyano-3-cyclopropyl-3-hydroxy-N-(4-(trifluoromethyl)phenyl)acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)C(F)(F)F)\C2CC2	7.67778070527
CHEMBL141774	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-(3-methyl-4-trifluoromethoxy-phenyl)-acrylamide	Cc1cc(NC(=O)\C(=C(/O)\C2CC2)\C#N)ccc1OC(F)(F)F	7.7447274949
CHEMBL142074	(Z)-N-(4-Bromo-3-methyl-phenyl)-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	Cc1cc(NC(=O)\C(=C(/O)\C2CC2)\C#N)ccc1Br	7.30102999566
CHEMBL142214	(Z)-N-(4-Bromo-phenyl)-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(Br)cc1)\C2CC2	7.10237290871
CHEMBL142218	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-(3-methyl-4-trifluoromethyl-phenyl)-acrylamide	Cc1cc(NC(=O)\C(=C(/O)\C2CC2)\C#N)ccc1C(F)(F)F	7.85387196432
CHEMBL142705	(Z)-N-(6-Chloro-pyridin-3-yl)-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(Cl)nc1)\C2CC2	6.20065945055
CHEMBL142996	(Z)-N-Biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)c2ccccc2)\C3CC3	5.82973828461
CHEMBL142997	(Z)-2-Cyano-3-cyclopropyl-N-(4'-fluoro-biphenyl-4-yl)-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)c2ccc(F)cc2)\C3CC3	5.66958622665
CHEMBL143052	(Z)-N-(5-Chloro-pyridin-2-yl)-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(Cl)cn1)\C2CC2	7.11918640772
CHEMBL143116	(Z)-N-(4-Chloro-3-methyl-phenyl)-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	Cc1cc(NC(=O)\C(=C(/O)\C2CC2)\C#N)ccc1Cl	7.48148606012
CHEMBL143196	(Z)-N-[4-(4-Chloro-benzoyl)-phenyl]-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)C(=O)c2ccc(Cl)cc2)\C3CC3	6.22914798836
CHEMBL143237	(Z)-N-(5-Bromo-pyridin-2-yl)-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(Br)cn1)\C2CC2	7.43179827593
CHEMBL143291	(Z)-2-Cyano-3-hydroxy-3-(tetrahydro-furan-3-yl)-N-(4-trifluoromethyl-phenyl)-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)C(F)(F)F)\C2CCOC2	4.92811799269
CHEMBL143319	(Z)-N-(4-Acetyl-phenyl)-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	CC(=O)c1ccc(NC(=O)\C(=C(/O)\C2CC2)\C#N)cc1	7.16749108729
CHEMBL143437	(Z)-2-Cyano-3-hydroxy-3-(tetrahydro-furan-2-yl)-N-(4-trifluoromethyl-phenyl)-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)C(F)(F)F)\C2CCCO2	5.34969247687
CHEMBL143438	(Z)-2-Cyano-3-cyclopentyl-3-hydroxy-N-(4-trifluoromethyl-phenyl)-acrylamide-2-cyano-3-cyclopentyl-3-hydroxy-N-(4-(trifluoromethyl)phenyl)acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)C(F)(F)F)\C2CCCC2	4.50031291738
CHEMBL143458	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-[4-(4-trifluoromethyl-thiazol-2-yl)-phenyl]-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)c2nc(cs2)C(F)(F)F)\C3CC3	5.52287874528
CHEMBL143460	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-(4-methanesulfonyl-phenyl)-acrylamide	CS(=O)(=O)c1ccc(NC(=O)\C(=C(/O)\C2CC2)\C#N)cc1	6.80134291305
CHEMBL143496	(Z)-2-Cyano-3-hydroxy-3-pyrrolidin-2-yl-N-(4-trifluoromethyl-phenyl)-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(cc1)C(F)(F)F)\C2CCCN2	3.0
CHEMBL143518	(Z)-N-(4-Chloro-phenyl)-2-cyano-3-cyclopropyl-3-hydroxy-acrylamide	O\C(=C(\C#N)/C(=O)Nc1ccc(Cl)cc1)\C2CC2	7.20065945055
CHEMBL143756	(Z)-2-Cyano-3-hydroxy-3-(1-methyl-pyrrolidin-2-yl)-N-(4-trifluoromethyl-phenyl)-acrylamide	CN1CCCC1\C(=C(/C#N)\C(=O)Nc2ccc(cc2)C(F)(F)F)\O	3.0
CHEMBL143816	(Z)-2-Cyano-3-cyclopropyl-3-hydroxy-N-(4-methylsulfanyl-phenyl)-acrylamide	CSc1ccc(NC(=O)\C(=C(/O)\C2CC2)\C#N)cc1	7.88605664769
CHEMBL1450	Atovaquone	OC1=C([C@@H]2CC[C@H](CC2)c3ccc(Cl)cc3)C(=O)c4ccccc4C1=O	6.15490195999
