chembl_id	name	smiles	pAff
CHEMBL1807815	(2R,3R,4S,5R)-2-(6-amino-2-(cyclopentyloxy)-9H-purin-9-yl)-5-(hydroxymethyl)tetrahydrofuran-3,4-diol	Nc1nc(OC2CCCC2)nc3c1ncn3[C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O	6.36653154442
CHEMBL2165173	7-methoxy-6-methylpteridine-2,4-diamine	COc1nc2nc(N)nc(N)c2nc1C	5.60205999133
CHEMBL2165174	4-amino-6-(1H-benzo[d]imidazol-2-yl)pyridazin-3(2H)-one	NC1=CC(=NNC1=O)c2nc3ccccc3[nH]2	5.60205999133
CHEMBL3098806	4-Amino-2-bromo-3-methylthieno[3,2-c]pyridine-7-carboxamide	Cc1c(Br)sc2c(cnc(N)c12)C(=O)N	5.14874165128
CHEMBL3098807	4-Amino-2-bromothieno[3,2-c]pyridine-7-carboxamide	NC(=O)c1cnc(N)c2cc(Br)sc12	4.31875876262
CHEMBL3098810	4-Aminothieno[3,2-c]pyridine-2,7-dicarboxamide	NC(=O)c1cc2c(N)ncc(C(=O)N)c2s1	4.82390874094
CHEMBL3098811	Ethyl 4-amino-7-carbamoylthieno[3,2-c]pyridine-2-carboxylate	CCOC(=O)c1cc2c(N)ncc(C(=O)N)c2s1	5.05060999336
CHEMBL3098812	4-Amino-N2-ethylthieno[3,2-c]pyridine-2,7-dicarboxamide	CCNC(=O)c1cc2c(N)ncc(C(=O)N)c2s1	4.12493873661
CHEMBL3098813	4-Amino-2-(1H-pyrazol-5-yl)thieno[3,2-c]pyridine-7-carboxamide	NC(=O)c1cnc(N)c2cc(sc12)c3ccn[nH]3	4.44369749923
CHEMBL3098814	4-Amino-3-bromothieno[3,2-c]pyridine-7-carboxamide	NC(=O)c1cnc(N)c2c(Br)csc12	4.40893539297
CHEMBL3098816	4-Aminothieno[3,2-c]pyridine-3,7-dicarboxamide	NC(=O)c1cnc(N)c2c(csc12)C(=O)N	4.16115090926
CHEMBL3099705	2-chloro-6-(1H-1,2,4-triazol-3-yl)pyrazine	Clc1cncc(n1)c2nc[nH]n2	3.9350749047260005
CHEMBL3099706	2-Chloro-6-(1H-[1,2,4]triazol-3-yl)-pyridine	Clc1cccc(n1)c2nc[nH]n2	4.6422047899829995
CHEMBL3099710	2-Cyclobutyl-6-(1H-[1,2,4]triazol-3-yl)-pyridine	C1CC(C1)c2cccc(n2)c3nc[nH]n3	4.2757241304
CHEMBL3099711	2-(1,1-Difluoro-ethyl)-6-(1H-[1,2,4]triazol-3-yl)-pyridine	CC(F)(F)c1cccc(n1)c2nc[nH]n2	4.67778070527
CHEMBL3099712	2-(1H-[1,2,4]Triazol-3-yl)-6-trifluoromethyl-pyridine	FC(F)(F)c1cccc(n1)c2nc[nH]n2	4.79588001734
CHEMBL3099713	3-(6-Trifluoromethyl-pyridin-2-yl)-1H-pyrazolo[3,4-c]pyridine	FC(F)(F)c1cccc(n1)c2n[nH]c3cnccc23	6.65757731918
CHEMBL3099714	2-[2-(1H-Pyrazolo[3,4-c]pyridin-3-yl)-6-trifluoromethyl-pyridin-4-ylamino]-ethanol	OCCNc1cc(nc(c1)C(F)(F)F)c2n[nH]c3cnccc23	6.63827216398
CHEMBL3099715	2-((2-(1H-Pyrazolo[3,4-c]pyridin-3-yl)-6-(trifluoromethyl)pyrimidin-4-yl)amino)ethanol	OCCNc1cc(nc(n1)c2n[nH]c3cnccc23)C(F)(F)F	7.470413616808
CHEMBL3632764	5,7-diamino-2-cyclohexylpyrido[2,3-d]pyrimidine-6-carbonitrile	Nc1nc2nc(ncc2c(N)c1C#N)C3CCCCC3	6.09151498112
CHEMBL3632765	5,7-diamino-2-(cyclohexylmethyl)pyrido[2,3-d]pyrimidine-6-carbonitrile	Nc1nc2nc(CC3CCCCC3)ncc2c(N)c1C#N	5.43179827593
CHEMBL3632766	5,7-diamino-2-isobutylpyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)Cc1ncc2c(N)c(C#N)c(N)nc2n1	5.95860731484
CHEMBL3632767	5,7-diamino-2-phenylpyrido[2,3-d]pyrimidine-6-carbonitrile	Nc1nc2nc(ncc2c(N)c1C#N)c3ccccc3	6.01322826573
CHEMBL3632768	5,7-diamino-2-benzylpyrido[2,3-d]pyrimidine-6-carbonitrile	Nc1nc2nc(Cc3ccccc3)ncc2c(N)c1C#N	4.0
CHEMBL3632769	5,7-diamino-2-tert-butylpyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1ncc2c(N)c(C#N)c(N)nc2n1	6.65757731918
CHEMBL3632770	5,7-diamino-2-tert-butyl-4-(methylthio)pyrido[2,3-d]pyrimidine-6-carbonitrile	CSc1nc(nc2nc(N)c(C#N)c(N)c12)C(C)(C)C	7.22914798836
CHEMBL3632771	5,7-diamino-2-tert-butyl-4-methylpyrido[2,3-d]pyrimidine-6-carbonitrile	Cc1nc(nc2nc(N)c(C#N)c(N)c12)C(C)(C)C	6.65757731918
CHEMBL3632772	5,7-diamino-2-tert-butyl-4-butylpyrido[2,3-d]pyrimidine-6-carbonitrile	CCCCc1nc(nc2nc(N)c(C#N)c(N)c12)C(C)(C)C	6.95860731484
CHEMBL3632773	5,7-diamino-2-tert-butyl-4-(4-cyanobutyl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(CCCCC#N)c2c(N)c(C#N)c(N)nc2n1	6.58502665203
CHEMBL3632774	5,7-diamino-2-tert-butyl-4-(5-cyanopentyl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(CCCCCC#N)c2c(N)c(C#N)c(N)nc2n1	6.45593195565
CHEMBL3632775	5,7-diamino-2-tert-butyl-4-cyclopentylpyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(C2CCCC2)c3c(N)c(C#N)c(N)nc3n1	6.92081875395
CHEMBL3632776	5,7-diamino-2-tert-butyl-4-(5-cyclohexylpentyl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(CCCCCC2CCCCC2)c3c(N)c(C#N)c(N)nc3n1	5.79588001734
CHEMBL3632777	5,7-diamino-2-tert-butyl-4-(thiazol-2-yl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(c2nccs2)c3c(N)c(C#N)c(N)nc3n1	7.24412514433
CHEMBL3632778	5,7-diamino-2-tert-butyl-4-(thiophen-2-yl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(c2cccs2)c3c(N)c(C#N)c(N)nc3n1	6.79588001734
CHEMBL3632779	5,7-diamino-2-tert-butyl-4-(thiophen-3-yl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(c2ccsc2)c3c(N)c(C#N)c(N)nc3n1	6.13076828027
CHEMBL3632780	5,7-diamino-2-tert-butyl-4-phenylpyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(c2ccccc2)c3c(N)c(C#N)c(N)nc3n1	6.32790214206
CHEMBL3632781	5,7-diamino-2-tert-butyl-4-(pyridin-2-yl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(c2ccccn2)c3c(N)c(C#N)c(N)nc3n1	5.99567862622
CHEMBL3632782	5,7-diamino-2-tert-butyl-4-(pyridin-3-yl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(c2cccnc2)c3c(N)c(C#N)c(N)nc3n1	6.36653154442
CHEMBL3632783	5,7-diamino-2-tert-butyl-4-(pyridin-4-yl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(c2ccncc2)c3c(N)c(C#N)c(N)nc3n1	6.39794000867
CHEMBL3632784	5,7-diamino-2-tert-butyl-4-(pyrazin-2-yl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(c2cnccn2)c3c(N)c(C#N)c(N)nc3n1	5.8416375079
CHEMBL3632785	ethyl 2-(5,7-diamino-2-tert-butyl-6-cyanopyrido[2,3-d]pyrimidin-4-yl)thiazole-4-carboxylate	CCOC(=O)c1csc(n1)c2nc(nc3nc(N)c(C#N)c(N)c23)C(C)(C)C	6.2757241304
CHEMBL3632787	5-(5,7-diamino-2-tert-butyl-6-cyanopyrido[2,3-d]pyrimidin-4-yl)thiophene-2-carboxylic acid	CC(C)(C)c1nc(c2ccc(s2)C(=O)O)c3c(N)c(C#N)c(N)nc3n1	6.25963731051
CHEMBL3632788	5,7-diamino-2-tert-butyl-4-(1H-imidazol-2-yl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(c2ncc[nH]2)c3c(N)c(C#N)c(N)nc3n1	7.44369749923
CHEMBL3632789	5,7-diamino-2-tert-butyl-4-(4-methyl-1H-imidazol-2-yl)pyrido[2,3-d]pyrimidine-6-carbonitrile	Cc1c[nH]c(n1)c2nc(nc3nc(N)c(C#N)c(N)c23)C(C)(C)C	7.16749108729
CHEMBL3632790	5,7-diamino-2-tert-butyl-4-(1H-pyrazol-5-yl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(c2ccn[nH]2)c3c(N)c(C#N)c(N)nc3n1	7.0
CHEMBL3632791	5,7-diamino-2-tert-butyl-4-(1H-1,2,3-triazol-5-yl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(c2cnn[nH]2)c3c(N)c(C#N)c(N)nc3n1	7.3767507096
CHEMBL3632792	5,7-diamino-2-tert-butyl-4-(1H-1,2,4-triazol-5-yl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(c2ncn[nH]2)c3c(N)c(C#N)c(N)nc3n1	6.56863623584
CHEMBL3632793	5,7-diamino-2-tert-butyl-4-(oxazol-2-yl)pyrido[2,3-d]pyrimidine-6-carbonitrile	CC(C)(C)c1nc(c2occn2)c3c(N)c(C#N)c(N)nc3n1	6.95860731484
