chembl_id	name	smiles	pAff
CHEMBL10247	(2-Mercaptomethyl-3-phenyl-propionylamino)-acetic acid	OC(=O)CNC(=O)C(CS)Cc1ccccc1	5.514858501346
CHEMBL10962	1-(3-Mercapto-propionyl)-pyrrolidine-2-carboxylic acid-(S)1-(3-Mercapto-propionyl)-pyrrolidine-2-carboxylic acid	OC(=O)[C@@H]1CCCN1C(=O)CCS	6.3925780759799995
CHEMBL110375	(S,S)1-(3-Mercapto-2-methyl-propionyl)-5-oxo-pyrrolidine-2-carboxylic acid	CC(CS)C(=O)N1C(CCC1=O)C(=O)O	8.03151705145
CHEMBL11391	{2-Oxo-6-phenyl-1-[(3,3,3-trifluoro-1-isopropyl-2-oxo-propylcarbamoyl)-methyl]-1,2-dihydro-pyridin-3-yl}-carbamic acid benzyl ester	CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NC(=O)OCc3ccccc3)C(=O)C(F)(F)F	3.0
CHEMBL114552	4-[(Hydroxy-phenethyl-phosphinoylmethyl)-amino]-butyric acid	OC(=O)CCCNCP(=O)(O)CCc1ccccc1	4.0
CHEMBL1159919	(R,S,S)1-{[2-(1-Carboxy-2-phenyl-ethylcarbamoyl)-4-methyl-pentyl]-hydroxy-phosphinoyl}-2-phenyl-ethyl-ammonium	CC(C)C[C@H](CP(=O)(O)[C@H](N)Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)O	5.871405824856
CHEMBL1159920	1-{[2-(1-Carboxy-2-phenyl-ethylcarbamoyl)-3-phenyl-propyl]-hydroxy-phosphinoyl}-2-phenyl-ethyl-ammonium	N[C@H](Cc1ccccc1)P(=O)(O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)O	5.695314565806
CHEMBL1159924	C-{[2-(1-Carboxy-2-phenyl-ethylcarbamoyl)-3-phenyl-propyl]-hydroxy-phosphinoyl}-C-phenyl-methyl-ammonium	N[C@H](c1ccccc1)P(=O)(O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)O	4.400915149036
CHEMBL1159925	1-{[3-Biphenyl-4-yl-2-(1-carboxy-ethylcarbamoyl)-propyl]-hydroxy-phosphinoyl}-2-phenyl-ethyl-ammonium	C[C@H](NC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)CP(=O)(O)[C@H](N)Cc3ccccc3)C(=O)O	6.923793894316
CHEMBL1159939	1-{[3-(4-Bromo-phenyl)-2-(1-carboxy-ethylcarbamoyl)-propyl]-hydroxy-phosphinoyl}-ethyl-ammonium	C[C@@H](N)P(=O)(O)C[C@@H](Cc1ccc(Br)cc1)C(=O)N[C@@H](C)C(=O)O	5.368730465665999
CHEMBL1159940	1-{[3-Biphenyl-4-yl-2-(1-carboxy-ethylcarbamoyl)-propyl]-hydroxy-phosphinoyl}-ethyl-ammonium	C[C@@H](N)P(=O)(O)C[C@@H](Cc1ccc(cc1)c2ccccc2)C(=O)N[C@@H](C)C(=O)O	6.4356772552959995
CHEMBL1159942	C-{[3-Biphenyl-4-yl-2-(1-carboxy-ethylcarbamoyl)-propyl]-hydroxy-phosphinoyl}-C-phenyl-methyl-ammonium	C[C@H](NC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)CP(=O)(O)[C@H](N)c3ccccc3)C(=O)O	5.116918492676
CHEMBL1159950	C-{[3-Biphenyl-4-yl-2-(1-carboxy-2-hydroxy-propylcarbamoyl)-propyl]-hydroxy-phosphinoyl}-C-phenyl-methyl-ammonium	CC(O)[C@H](NC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)CP(=O)(O)[C@H](N)c3ccccc3)C(=O)O	3.2138285056859996
CHEMBL1159952	C-{[3-Biphenyl-4-yl-2-(carboxymethyl-carbamoyl)-propyl]-hydroxy-phosphinoyl}-C-phenyl-methyl-ammonium	N[C@H](c1ccccc1)P(=O)(O)C[C@@H](Cc2ccc(cc2)c3ccccc3)C(=O)NCC(=O)O	4.622763898655999
CHEMBL1159953	C-{[3-Biphenyl-4-yl-2-(1-carboxy-2-hydroxy-ethylcarbamoyl)-propyl]-hydroxy-phosphinoyl}-C-phenyl-methyl-ammonium	N[C@H](c1ccccc1)P(=O)(O)C[C@@H](Cc2ccc(cc2)c3ccccc3)C(=O)N[C@@H](CO)C(=O)O	3.8158884970060005
CHEMBL1160560	5-[2-((2S,5R)-2-Carboxy-5-phenyl-pyrrolidin-1-yl)-2-oxo-ethylcarbamoyl]-5-mercapto-pentyl-ammonium	NCCCCC(S)C(=O)NCC(=O)N1[C@@H](CC[C@@H]1c2ccccc2)C(=O)O	6.39469495386
