chembl_id	name	smiles	pAff
CHEMBL1605548	N-(4-bromophenyl)acrylamide	Brc1ccc(NC(=O)C=C)cc1	5.0
CHEMBL190022	N-[6-(Imidazo[1,2-d][1,2,4]thiadiazol-3-yl-methyl-amino)-hexyl]-2-nitro-benzenesulfonamide	CN(CCCCCCNS(=O)(=O)c1ccccc1[N+](=O)[O-])c2nsc3nccn23	5.2076083105
CHEMBL192921	{Imidazo[1,2-d][1,2,4]thiadiazol-3-yl-[6-(2-nitro-benzenesulfonylamino)-hexyl]-amino}-acetic acid	OC(=O)CN(CCCCCCNS(=O)(=O)c1ccccc1[N+](=O)[O-])c2nsc3nccn23	4.76955107862
CHEMBL193212	N-[6-(Imidazo[1,2-d][1,2,4]thiadiazol-3-ylamino)-hexyl]-2-nitro-benzenesulfonamide	[O-][N+](=O)c1ccccc1S(=O)(=O)NCCCCCCNc2nsc3nccn23	5.09151498112
CHEMBL193220	5-Methyl-2-(2-oxo-propylsulfanyl)-thiazolo[2,3-b][1,3,4]thiadiazol-4-ylium; compound with perchlorate	CC(=O)CSc1n[n+]2c(C)csc2s1.[O-]Cl(=O)(=O)=O	6.60205999133
CHEMBL2086466	4-[4-(1-Oxobut-2-ynylamino)benzenesulfonyl]piperazine-1-carboxylic Acid tert-Butyl Ester	CC#CC(=O)Nc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)OC(C)(C)C	3.0969100130099996
CHEMBL2086473	N-[4-(Pyrrolidine-1-sulfonyl)phenyl]acrylamide	C=CC(=O)Nc1ccc(cc1)S(=O)(=O)N2CCCC2	4.60205999133
CHEMBL2086479	4-(3-Acryloylaminobenzenesulfonyl)piperazine-1-carboxylic Acid Benzyl Ester	C=CC(=O)Nc1cccc(c1)S(=O)(=O)N2CCN(CC2)C(=O)OCc3ccccc3	5.38721614328
CHEMBL2086480	N-[4-(4-cyclopentanecarbonylpiperazine-1-sulfonyl)phenyl]acrylamide	C=CC(=O)Nc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)C3CCCC3	5.25181197299
CHEMBL2086482	4-[4-(2-Fluoroacryloylamino)benzenesulfonyl]piperazine-1-carboxylic Acid tert-Butyl Ester	CC(C)(C)OC(=O)N1CCN(CC1)S(=O)(=O)c2ccc(NC(=O)C(=C)F)cc2	3.0969100130099996
CHEMBL2086483	4-[4-(2-Methylacryloylamino)benzenesulfonyl]piperazine-1-carboxylic Acid tert-Butyl Ester	CC(=C)C(=O)Nc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)OC(C)(C)C	3.0969100130099996
CHEMBL2086484	(Z)-tert-butyl 4-(4-but-2-enamidophenylsulfonyl)piperazine-1-carboxylate	C\C=C/C(=O)Nc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)OC(C)(C)C	3.0969100130099996
CHEMBL2086485	(E)-tert-butyl 4-(4-but-2-enamidophenylsulfonyl)piperazine-1-carboxylate	C\C=C\C(=O)Nc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)OC(C)(C)C	3.0969100130099996
