chembl_id	name	smiles	pAff
CHEMBL2	[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-furan-2-yl-methanone	COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4	7.815020775476
CHEMBL313157	2-{3-[4-(2-Ethoxy-phenyl)-piperazin-1-yl]-propylamino}-N,N-dimethyl-nicotinamide	CCOc1ccccc1N2CCN(CCCNc3ncccc3C(=O)N(C)C)CC2	8.815020775476
CHEMBL313775	1,3-Dimethyl-4-(3-{4-[2-(2,2,2-trifluoro-ethoxy)-phenyl]-piperazin-1-yl}-propylamino)-1H-pyrazolo[3,4-b]pyridine-5-carboxylic acid methylamide	CNC(=O)c1cnc2c(c(C)nn2C)c1NCCCN3CCN(CC3)c4ccccc4OCC(F)(F)F	9.514858501346
CHEMBL314114	N,N-Dimethyl-2-{3-[4-(2-trifluoromethyl-phenyl)-piperazin-1-yl]-propylamino}-nicotinamide	CN(C)C(=O)c1cccnc1NCCCN2CCN(CC2)c3ccccc3C(F)(F)F	7.414832771236
CHEMBL314880	N,N-Dimethyl-2-{3-[4-(4-methyl-2-pyrrol-1-yl-phenyl)-piperazin-1-yl]-propylamino}-nicotinamide	CN(C)C(=O)c1cccnc1NCCCN2CCN(CC2)c3ccc(C)cc3n4cccc4	10.213828505646
CHEMBL315496	4-{3-[4-(4-Fluoro-2-methoxy-phenyl)-piperazin-1-yl]-propylamino}-quinoline-3,8-dicarboxylic acid 8-amide 3-dimethylamide	COc1cc(F)ccc1N2CCN(CCCNc3c(cnc4c(cccc34)C(=O)N)C(=O)N(C)C)CC2	8.815020775476
CHEMBL315785	7-{3-[4-(4-Fluoro-2-methoxy-phenyl)-piperazin-1-yl]-propylamino}-2,3-dimethyl-3H-imidazo[4,5-b]pyridine-6-carboxylic acid dimethylamide	COc1cc(F)ccc1N2CCN(CCCNc3c(cnc4c3nc(C)n4C)C(=O)N(C)C)CC2	8.714829142106
CHEMBL327168	N,N-Dimethyl-2-{3-[4-(2-oxazol-2-yl-phenyl)-piperazin-1-yl]-propylamino}-nicotinamide	CN(C)C(=O)c1cccnc1NCCCN2CCN(CC2)c3ccccc3c4occn4	9.015171418726
CHEMBL327231	4-{3-[4-(4-Fluoro-2-oxazol-2-yl-phenyl)-piperazin-1-yl]-propylamino}-1,3-dimethyl-1H-pyrazolo[3,4-b]pyridine-5-carboxylic acid dimethylamide	CN(C)C(=O)c1cnc2c(c(C)nn2C)c1NCCCN3CCN(CC3)c4ccc(F)cc4c5occn5	9.414487956225999
CHEMBL327232	5-Hydroxy-2-{3-[4-(2-methoxy-phenyl)-piperazin-1-yl]-propylamino}-N,N-dimethyl-nicotinamide	COc1ccccc1N2CCN(CCCNc3ncc(O)cc3C(=O)N(C)C)CC2	8.213828505686
